"Rank,",College/University,",",Average Early Career Pay,",",Average Student Loan Debt,",",College Risk Reward Indicator
"1,",Princeton University,",","$61,300 ",",","$6,600 ",",9.29",
"2,",CUNY – Bernard M Baruch College,",","$50,700 ",",","$5,511 ",",9.20",
"3,",CUNY – Queens College,",","$43,100 ",",","$4,745 ",",9.08",
"4,",Eastern New Mexico University – Main Campus,",","$35,800 ",",","$4,895 ",",7.31",
"5,",California Institute of Technology (Caltech),",","$72,600 ",",","$12,104 ",",6.00",
"6,",Florida International University (FIU),",","$43,800 ",",","$10,000 ",",4.38",
"7,",Hampton University,",","$39,900 ",",","$9,231 ",",4.32",
"8,",Harvard University,",","$61,400 ",",","$15,117 ",",4.06",
"9,",Yale University,",","$60,300 ",",","$14,853 ",",4.06",
"10,",National University,",","$48,600 ",",","$12,076 ",",4.02",
"11,",Massachusetts Institute of Technology (MIT),",","$74,900 ",",","$19,064 ",",3.93",
"12,",Wellesley College,",","$49,000 ",",","$12,956 ",",3.78",
"13,",Brigham Young University (BYU),",","$51,700 ",",","$14,021 ",",3.69",
"14,",California State University – Bakersfield (CSUB),",","$41,900 ",",","$11,735 ",",3.57",
"15,",CUNY – John Jay College Criminal Justice,",","$39,100 ",",","$11,246 ",",3.48",
"16,",Stanford University,",","$65,900 ",",","$19,230 ",",3.43",
"17,",University of California – Berkeley,",","$59,500 ",",","$17,584 ",",3.38",
"18,",California State University – Fresno (Fresno State),",","$43,000 ",",","$12,851 ",",3.35",
"19,",Cooper Union for The Advancement of Science and Art,",","$62,700 ",",","$19,072 ",",3.29",
"20,",Dartmouth College,",","$56,300 ",",","$17,171 ",",3.28",
"21,",Harvey Mudd College,",","$78,200 ",",","$24,503 ",",3.19",
"22,",Northeastern Illinois University,",","$42,000 ",",","$13,366 ",",3.14",
"23,","Touro College – New York, NY",",","$53,200 ",",","$17,000 ",",3.13",
"24,",University of Pennsylvania,",","$60,300 ",",","$19,442 ",",3.10",
"25,",North Georgia College and State University,",","$39,600 ",",","$12,892 ",",3.07",
"26,",CUNY – City College,",","$51,400 ",",","$16,942 ",",3.03",
"27,",Post University,",","$47,900 ",",","$15,995 ",",2.99",
"28,",Duke University,",","$60,600 ",",","$20,556 ",",2.95",
"29,","Hamilton College – Clinton, NY",",","$54,700 ",",","$18,941 ",",2.89",
"30,",Rice University,",","$63,900 ",",","$22,241 ",",2.87",
"31,",California State University – Fullerton (CSUF),",","$42,900 ",",","$14,965 ",",2.87",
"32,",California State University – Los Angeles (CSULA),",","$42,300 ",",","$14,788 ",",2.86",
"33,",Northwestern University,",","$56,300 ",",","$19,864 ",",2.83",
"34,",University of Texas – Pan American (UTPA),",","$42,100 ",",","$14,900 ",",2.83",
"35,",Louisiana Tech University,",","$47,000 ",",","$16,855 ",",2.79",
"36,","Cornell University – Ithaca, NY",",","$59,700 ",",","$21,411 ",",2.79",
"37,",Middlebury College,",","$50,100 ",",","$17,975 ",",2.79",
"38,",University of Houston (UH),",","$51,200 ",",","$18,453 ",",2.77",
"39,",Colorado School of Mines,",","$65,500 ",",","$23,667 ",",2.77",
"40,",Vanderbilt University,",","$57,300 ",",","$20,790 ",",2.76",
"41,",Tennessee Technological University (TTU),",","$50,800 ",",","$18,467 ",",2.75",
"42,",Barnard College – Columbia University,",","$48,300 ",",","$17,660 ",",2.73",
"43,","Bellevue University – Bellevue, NE",",","$42,600 ",",","$15,592 ",",2.73",
"44,",Friends University,",","$41,600 ",",","$15,289 ",",2.72",
"45,",Southern Utah University,",","$40,600 ",",","$14,978 ",",2.71",
"46,",New Mexico Institute of Mining and Technology (New Mexico Tech),",","$56,600 ",",","$20,944 ",",2.70",
"47,",West Virginia University Institute of Technology (WVU Tech),",","$55,700 ",",","$20,893 ",",2.67",
"48,",Coppin State University (CSU),",","$40,200 ",",","$15,084 ",",2.67",
"49,",Governors State University,",","$39,400 ",",","$14,808 ",",2.66",
"50,",California State University – Long Beach (CSULB),",","$43,800 ",",","$16,579 ",",2.64",
"51,",University of Washington – Bothell Campus,",","$50,900 ",",","$19,536 ",",2.61",
"52,",Grinnell College,",","$42,500 ",",","$16,315 ",",2.60",
"53,",Arizona State University (ASU),",","$48,400 ",",","$18,585 ",",2.60",
"54,",Utah Valley University,",","$43,700 ",",","$16,784 ",",2.60",
"55,",University of California – Davis (UC Davis),",","$51,000 ",",","$19,705 ",",2.59",
"56,",California State University – East Bay (CSUEB),",","$48,100 ",",","$18,684 ",",2.57",
"57,",University of Mary Washington,",","$44,800 ",",","$17,460 ",",2.57",
"58,",University of Texas at Dallas,",","$50,300 ",",","$19,613 ",",2.56",
"59,",Montana Tech of The University of Montana,",","$62,100 ",",","$24,448 ",",2.54",
"60,",Bucknell University,",","$57,100 ",",","$22,500 ",",2.54",
"61,",California State University – Dominguez Hills (CSUDH),",","$42,500 ",",","$16,768 ",",2.53",
"62,",Western Governors University (WGU),",","$50,200 ",",","$19,880 ",",2.53",
"63,",Boston College,",","$53,100 ",",","$21,139 ",",2.51",
"64,",Georgia Institute of Technology,",","$62,500 ",",","$24,891 ",",2.51",
"65,",Colgate University,",","$53,700 ",",","$21,405 ",",2.51",
"66,",Berklee College of Music,",","$39,700 ",",","$15,838 ",",2.51",
"67,",San Diego State University (SDSU) – Main Campus,",","$46,100 ",",","$18,400 ",",2.51",
"68,",University of California – Los Angeles (UCLA),",","$51,800 ",",","$20,759 ",",2.50",
"69,",Stevens Institute of Technology,",","$66,800 ",",","$26,804 ",",2.49",
"70,",Reed College,",","$47,600 ",",","$19,151 ",",2.49",
"71,",University of Washington (UW) – Main Campus,",","$53,500 ",",","$21,532 ",",2.48",
"72,",North Carolina State University (NCSU),",","$50,600 ",",","$20,482 ",",2.47",
"73,",University of California – Irvine (UCI),",","$49,900 ",",","$20,319 ",",2.46",
"74,",Kettering University,",","$64,700 ",",","$26,480 ",",2.44",
"75,",University of North Carolina at Chapel Hill (UNC),",","$46,200 ",",","$18,945 ",",2.44",
"76,",Wilmington University,",","$42,600 ",",","$17,486 ",",2.44",
"77,",Johns Hopkins University,",","$57,500 ",",","$23,627 ",",2.43",
"78,",SUNY – Maritime College,",","$65,200 ",",","$26,792 ",",2.43",
