,,,,,,,,,,,,FY 2015 3-YEAR COHORT DEFAULT RATES,,,
OPEID,SCHOOL,Address,City,STATE,State Desc,Zip Code,Zip Ext,"Prog
Length",LONGEST PROGRAM LENGTH,"School
Type",SCHOOL TYPE,COHORT YEAR,NUMBER IN DEFAULT,NUMBER ENTERING REPAYMENT,DEFAULT RATE
1002,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY                     ,4900 MERIDIAN STREET                              ,NORMAL              ,AL,ALABAMA                                                     ,35762,1357,8,Master's Degree or Doctor's Degree,1,Public,2015,378,1902,19.8
1003,FAULKNER UNIVERSITY                                              ,5345 ATLANTA HIGHWAY                              ,MONTGOMERY          ,AL,ALABAMA                                                     ,36109,3398,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,180,1471,12.2
1004,UNIVERSITY OF MONTEVALLO                                         ,PALMER CIRCLE                                     ,MONTEVALLO          ,AL,ALABAMA                                                     ,35115,6000,8,Master's Degree or Doctor's Degree,1,Public,2015,72,784,9.1
1005,ALABAMA STATE UNIVERSITY                                         ,915 SOUTH JACKSON STREET                          ,MONTGOMERY          ,AL,ALABAMA                                                     ,36104,5714,8,Master's Degree or Doctor's Degree,1,Public,2015,466,2208,21.1
1007,CENTRAL ALABAMA COMMUNITY COLLEGE                                ,1675 CHEROKEE ROAD                                ,ALEXANDER CITY      ,AL,ALABAMA                                                     ,35010,0,5,Associate's Degree,1,Public,2015,131,579,22.6
1008,ATHENS STATE UNIVERSITY                                          ,300 NORTH BEATY STREET                            ,ATHENS              ,AL,ALABAMA                                                     ,35611,1999,8,Master's Degree or Doctor's Degree,1,Public,2015,66,924,7.1
1009,AUBURN UNIVERSITY                                                ,107 SAMFORD HALL                                  ,AUBURN              ,AL,ALABAMA                                                     ,36849,5113,8,Master's Degree or Doctor's Degree,1,Public,2015,114,3750,3
1012,BIRMINGHAM-SOUTHERN COLLEGE                                      ,900 ARKADELPHIA ROAD                              ,BIRMINGHAM          ,AL,ALABAMA                                                     ,35254,2,6,Bachelor's Degree,2,Nonprofit,2015,15,227,6.6
1013,CALHOUN COMMUNITY COLLEGE                                        ,6250 HIGHWAY 31 NORTH                             ,TANNER              ,AL,ALABAMA                                                     ,35671,0,5,Associate's Degree,1,Public,2015,433,2489,17.3
1015,ENTERPRISE STATE COMMUNITY COLLEGE                               ,600 PLAZA DRIVE                                   ,ENTERPRISE          ,AL,ALABAMA                                                     ,36331,1300,5,Associate's Degree,1,Public,2015,79,377,20.9
1016,UNIVERSITY OF NORTH ALABAMA                                      ,ONE HARRISON PLAZA                                ,FLORENCE            ,AL,ALABAMA                                                     ,35632,1,8,Master's Degree or Doctor's Degree,1,Public,2015,149,1547,9.6
1019,HUNTINGDON COLLEGE                                               ,1500 EAST FAIRVIEW AVENUE                         ,MONTGOMERY          ,AL,ALABAMA                                                     ,36106,2148,6,Bachelor's Degree,2,Nonprofit,2015,39,360,10.8
1020,JACKSONVILLE STATE UNIVERSITY                                    ,"700 PELHAM ROAD, NORTH                            ",JACKSONVILLE        ,AL,ALABAMA                                                     ,36265,1602,8,Master's Degree or Doctor's Degree,1,Public,2015,292,2454,11.8
1022,JEFFERSON STATE COMMUNITY COLLEGE                                ,2601 CARSON ROAD                                  ,BIRMINGHAM          ,AL,ALABAMA                                                     ,35215,3098,5,Associate's Degree,1,Public,2015,205,1568,13
1023,JUDSON COLLEGE                                                   ,302 BIBB STREET                                   ,MARION              ,AL,ALABAMA                                                     ,36756,2504,6,Bachelor's Degree,2,Nonprofit,2015,21,132,15.9
1024,UNIVERSITY OF WEST ALABAMA                                       ,205 NORTH WASHINGTON                              ,LIVINGSTON          ,AL,ALABAMA                                                     ,35470,0,8,Master's Degree or Doctor's Degree,1,Public,2015,149,1889,7.8
1026,MARION MILITARY INSTITUTE                                        ,1101 WASHINGTON STREET                            ,MARION              ,AL,ALABAMA                                                     ,36756,3214,5,Associate's Degree,1,Public,2015,22,204,10.7
1028,MILES COLLEGE                                                    ,5500 MYRON MASSEY BOULEVARD                       ,FAIRFIELD           ,AL,ALABAMA                                                     ,35064,2697,6,Bachelor's Degree,2,Nonprofit,2015,87,774,11.2
1029,UNIVERSITY OF MOBILE                                             ,5735 COLLEGE PARKWAY                              ,MOBILE              ,AL,ALABAMA                                                     ,36663,220,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,39,574,6.7
1031,NORTHEAST ALABAMA COMMUNITY COLLEGE                              ,138  HIGHWAY 35                    138  ALABAMA HI,RAINSVILLE          ,AL,ALABAMA                                                     ,35986,159,5,Associate's Degree,1,Public,2015,50,330,15.1
1033,OAKWOOD UNIVERSITY                                               ,"7000 ADVENTIST BOULEVARD, NORTHWEST               ",HUNTSVILLE          ,AL,ALABAMA                                                     ,35896,1,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,85,616,13.7
1036,SAMFORD UNIVERSITY                                               ,800 LAKESHORE DRIVE                               ,BIRMINGHAM          ,AL,ALABAMA                                                     ,35229,7000,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,18,914,1.9
1038,SNEAD STATE COMMUNITY COLLEGE                                    ,220 NORTH WALNUT STREET                           ,BOAZ                ,AL,ALABAMA                                                     ,35957,734,5,Associate's Degree,1,Public,2015,102,394,25.8
1040,SOUTHERN UNION STATE COMMUNITY COLLEGE                           ,750 ROBERTS STREET                                ,WADLEY              ,AL,ALABAMA                                                     ,36276,0,5,Associate's Degree,1,Public,2015,153,915,16.7
1041,SPRING HILL COLLEGE                                              ,4000 DAUPHIN STREET                               ,MOBILE              ,AL,ALABAMA                                                     ,36608,1791,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,23,369,6.2
1044,STILLMAN COLLEGE                                                 ,3601 STILLMAN BOULEVARD                           ,TUSCALOOSA          ,AL,ALABAMA                                                     ,35401,1430,6,Bachelor's Degree,2,Nonprofit,2015,93,406,22.9
1046,TALLADEGA COLLEGE                                                ,627 WEST BATTLE STREET                            ,TALLADEGA           ,AL,ALABAMA                                                     ,35160,2354,6,Bachelor's Degree,2,Nonprofit,2015,80,250,32
1047,TROY UNIVERSITY                                                  ,UNIVERSITY AVENUE                  ADAMS ADMINISTR,TROY                ,AL,ALABAMA                                                     ,36082,1,8,Master's Degree or Doctor's Degree,1,Public,2015,747,7139,10.4
1050,TUSKEGEE UNIVERSITY                                              ,308 KRESGE CENTER                                 ,TUSKEGEE INSTITUTE  ,AL,ALABAMA                                                     ,36088,1645,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,101,876,11.5
1051,UNIVERSITY OF ALABAMA                                            ,801 UNIVERSITY BOULEVARD           ROSE ADMINISTRA,TUSCALOOSA          ,AL,ALABAMA                                                     ,35487,120,8,Master's Degree or Doctor's Degree,1,Public,2015,306,5814,5.2
1052,UNIVERSITY OF ALABAMA AT BIRMINGHAM                              ,1720 2ND AVENUE SOUTH              LISTER HILL LIB,BIRMINGHAM          ,AL,ALABAMA                                                     ,35294,1150,8,Master's Degree or Doctor's Degree,1,Public,2015,253,4250,5.9
1055,UNIVERSITY OF ALABAMA IN HUNTSVILLE                              ,212 UNIVERSITY CENTER                             ,HUNTSVILLE          ,AL,ALABAMA                                                     ,35899,1,8,Master's Degree or Doctor's Degree,1,Public,2015,111,1491,7.4
1057,UNIVERSITY OF SOUTH ALABAMA                                      ,307 UNIVERSITY BOULEVARD NORTH                    ,MOBILE              ,AL,ALABAMA                                                     ,36688,2,8,Master's Degree or Doctor's Degree,1,Public,2015,333,3955,8.4
1060,COASTAL ALABAMA COMMUNITY COLLEGE                                ,1900 HIGHWAY 31 SOUTH                             ,BAY MINETTE         ,AL,ALABAMA                                                     ,36507,2698,5,Associate's Degree,1,Public,2015,250,1345,18.5
1061,ALASKA PACIFIC UNIVERSITY                                        ,4101 UNIVERSITY DRIVE                             ,ANCHORAGE           ,AK,ALASKA                                                      ,99508,4672,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,15,192,7.8
1063,UNIVERSITY OF ALASKA FAIRBANKS                                   ,"3RD FLOOR, SIGNER'S HALL                          ",FAIRBANKS           ,AK,ALASKA                                                      ,99775,7500,8,Master's Degree or Doctor's Degree,1,Public,2015,164,1341,12.2
1065,UNIVERSITY OF ALASKA SOUTHEAST                                   ,11066 AUKE LAKE WAY                               ,JUNEAU              ,AK,ALASKA                                                      ,99801,8680,8,Master's Degree or Doctor's Degree,1,Public,2015,50,400,12.5
1071,ARIZONA WESTERN COLLEGE                                          ,2020 SOUTH AVENUE 8E               FINANCIAL AID O,YUMA                ,AZ,ARIZONA                                                     ,85365,8847,5,Associate's Degree,1,Public,2015,79,355,22.2
1072,COCHISE COLLEGE                                                  ,901 NORTH COLOMBO                                 ,SIERRA VISTA        ,AZ,ARIZONA                                                     ,85635,2317,5,Associate's Degree,1,Public,2015,21,293,7.1
1074,GRAND CANYON UNIVERSITY                                          ,3300 WEST CAMELBACK ROAD                          ,PHOENIX             ,AZ,ARIZONA                                                     ,85017,3030,8,Master's Degree or Doctor's Degree,3,For-Profit,2015,1841,29753,6.1
1076,GLENDALE COMMUNITY COLLEGE                                       ,6000 WEST OLIVE AVENUE                            ,GLENDALE            ,AZ,ARIZONA                                                     ,85302,3090,5,Associate's Degree,1,Public,2015,551,2857,19.2
1077,MESA COMMUNITY COLLEGE                                           ,1833 WEST SOUTHERN AVENUE                         ,MESA                ,AZ,ARIZONA                                                     ,85202,4866,5,Associate's Degree,1,Public,2015,790,4152,19
1078,PHOENIX COLLEGE                                                  ,1202 WEST THOMAS ROAD                             ,PHOENIX             ,AZ,ARIZONA                                                     ,85013,4234,5,Associate's Degree,1,Public,2015,519,2434,21.3
1079,YAVAPAI COLLEGE                                                  ,1100 EAST SHELDON STREET                          ,PRESCOTT            ,AZ,ARIZONA                                                     ,86301,3297,5,Associate's Degree,1,Public,2015,172,842,20.4
1081,ARIZONA STATE UNIVERSITY                                         ,FINANCIAL AID & SCHOLARSHIP SRVCS  1151 SOUTH FORE,TEMPE               ,AZ,ARIZONA                                                     ,85287,412,8,Master's Degree or Doctor's Degree,1,Public,2015,1210,18571,6.5
1082,NORTHERN ARIZONA UNIVERSITY                                      ,"GAMMAGE, BUILDING #1 KNOLES DRIVE  ROOM 209       ",FLAGSTAFF           ,AZ,ARIZONA                                                     ,86011,1,8,Master's Degree or Doctor's Degree,1,Public,2015,527,7067,7.4
1083,UNIVERSITY OF ARIZONA (THE)                                      ,PO BOX 210066                      ADMINISTRATION ,TUCSON              ,AZ,ARIZONA                                                     ,85721,66,8,Master's Degree or Doctor's Degree,1,Public,2015,414,7084,5.8
1085,UNIVERSITY OF ARKANSAS AT MONTICELLO                             ,140 UNIVERSITY DRIVE                              ,MONTICELLO          ,AR,ARKANSAS                                                    ,71656,0,8,Master's Degree or Doctor's Degree,1,Public,2015,220,1234,17.8
1086,UNIVERSITY OF ARKANSAS AT PINE BLUFF                             ,1200 NORTH UNIVERSITY DRIVE                       ,PINE BLUFF          ,AR,ARKANSAS                                                    ,71601,2790,8,Master's Degree or Doctor's Degree,1,Public,2015,136,959,14.1
1087,ARKANSAS BAPTIST COLLEGE                                         ,1600 DOCTOR MARTIN L. KING DRIVE                  ,LITTLE ROCK         ,AR,ARKANSAS                                                    ,72202,6099,6,Bachelor's Degree,2,Nonprofit,2015,174,523,33.2
1088,LYON COLLEGE                                                     ,2300 HIGHLAND ROAD                                ,BATESVILLE          ,AR,ARKANSAS                                                    ,72501,3699,6,Bachelor's Degree,2,Nonprofit,2015,15,194,7.7
1089,ARKANSAS TECH UNIVERSITY                                         ,215 WEST O STREET                                 ,RUSSELLVILLE        ,AR,ARKANSAS                                                    ,72801,2222,8,Master's Degree or Doctor's Degree,1,Public,2015,295,2731,10.8
1090,ARKANSAS STATE UNIVERSITY                                        ,2105 AGGIE ROAD                                   ,JONESBORO           ,AR,ARKANSAS                                                    ,72401,0,8,Master's Degree or Doctor's Degree,1,Public,2015,297,4507,6.5
1091,ARKANSAS STATE UNIVERSITY - BEEBE                                ,1000 IOWA STREET                                  ,BEEBE               ,AR,ARKANSAS                                                    ,72012,1000,5,Associate's Degree,1,Public,2015,57,436,13
1092,UNIVERSITY OF CENTRAL ARKANSAS                                   ,201 DONAGHEY AVENUE                               ,CONWAY              ,AR,ARKANSAS                                                    ,72035,1,8,Master's Degree or Doctor's Degree,1,Public,2015,228,2796,8.1
1093,CENTRAL BAPTIST COLLEGE                                          ,1501 COLLEGE AVENUE                               ,CONWAY              ,AR,ARKANSAS                                                    ,72034,6470,6,Bachelor's Degree,2,Nonprofit,2015,19,248,7.6
1094,UNIVERSITY OF THE OZARKS                                         ,415 NORTH COLLEGE AVENUE                          ,CLARKSVILLE         ,AR,ARKANSAS                                                    ,72830,2880,6,Bachelor's Degree,2,Nonprofit,2015,18,141,12.7
1095,CROWLEY'S RIDGE COLLEGE                                          ,100 COLLEGE DRIVE                                 ,PARAGOULD           ,AR,ARKANSAS                                                    ,72450,9775,6,Bachelor's Degree,2,Nonprofit,2015,6,59,10.1
1097,HARDING UNIVERSITY                                               ,915 EAST MARKET                                   ,SEARCY              ,AR,ARKANSAS                                                    ,72149,1,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,60,1353,4.4
1098,HENDERSON STATE UNIVERSITY                                       ,1100 HENDERSON STREET                             ,ARKADELPHIA         ,AR,ARKANSAS                                                    ,71999,1,8,Master's Degree or Doctor's Degree,1,Public,2015,95,1134,8.3
1099,HENDRIX COLLEGE                                                  ,1600 WASHINGTON AVENUE                            ,CONWAY              ,AR,ARKANSAS                                                    ,72032,3080,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,12,250,4.8
1100,JOHN BROWN UNIVERSITY                                            ,2000 WEST UNIVERSITY STREET                       ,SILOAM SPRINGS      ,AR,ARKANSAS                                                    ,72761,2747,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,20,631,3.1
1101,UNIVERSITY OF ARKANSAS AT LITTLE ROCK                            ,2801 SOUTH UNIVERSITY                             ,LITTLE ROCK         ,AR,ARKANSAS                                                    ,72204,1099,8,Master's Degree or Doctor's Degree,1,Public,2015,320,3280,9.7
1102,OUACHITA BAPTIST UNIVERSITY                                      ,410 OUACHITA DRIVE                                ,ARKADELPHIA         ,AR,ARKANSAS                                                    ,71998,1,6,Bachelor's Degree,2,Nonprofit,2015,16,301,5.3
1103,PHILANDER SMITH COLLEGE                                          ,900 WEST DAISY GASTON BATES DRIVE                 ,LITTLE ROCK         ,AR,ARKANSAS                                                    ,72202,3718,6,Bachelor's Degree,2,Nonprofit,2015,48,238,20.1
1104,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS         ,1000 CAMPUS DRIVE                                 ,HELENA              ,AR,ARKANSAS                                                    ,72342,0,5,Associate's Degree,1,Public,2015,4,35,11.4
1105,SHORTER COLLEGE                                                  ,604 LOCUST STREET                                 ,NORTH LITTLE ROCK   ,AR,ARKANSAS                                                    ,72114,4885,5,Associate's Degree,2,Nonprofit,2015,77,276,27.8
1106,WILLIAMS BAPTIST UNIVERSITY                                      ,60 W. FULLBRIGHT AVENUE                           ,WALNUT RIDGE        ,AR,ARKANSAS                                                    ,72476,4661,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,9,184,4.8
1107,SOUTHERN ARKANSAS UNIVERSITY                                     ,100 EAST UNIVERSITY                               ,MAGNOLIA            ,AR,ARKANSAS                                                    ,71753,5000,8,Master's Degree or Doctor's Degree,1,Public,2015,147,932,15.7
1108,UNIVERSITY OF ARKANSAS                                           ,425 ADMINISTRATION BUILDING                       ,FAYETTEVILLE        ,AR,ARKANSAS                                                    ,72701,0,8,Master's Degree or Doctor's Degree,1,Public,2015,235,4279,5.4
1109,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES                      ,4301 WEST MARKHAM STREET           SLOT 864       ,LITTLE ROCK         ,AR,ARKANSAS                                                    ,72205,7102,8,Master's Degree or Doctor's Degree,1,Public,2015,15,718,2
1110,UNIVERSITY OF ARKANSAS AT FORT SMITH                             ,5210 GRAND AVENUE                                 ,FORT SMITH          ,AR,ARKANSAS                                                    ,72904,7397,6,Bachelor's Degree,1,Public,2015,241,1576,15.2
1111,ALLAN HANCOCK COLLEGE                                            ,800 SOUTH COLLEGE DRIVE                           ,SANTA MARIA         ,CA,CALIFORNIA                                                  ,93454,6399,5,Associate's Degree,1,Public,2015,43,190,22.6
1113,ANTELOPE VALLEY COLLEGE                                          ,3041 WEST AVENUE K                                ,LANCASTER           ,CA,CALIFORNIA                                                  ,93536,5426,6,Bachelor's Degree,1,Public,2015,442,1638,26.9
